date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,wet_bulb_temperature_2m,sunshine_duration,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,global_tilted_irradiance,terrestrial_radiation,shortwave_radiation_instant,direct_radiation_instant,diffuse_radiation_instant,direct_normal_irradiance_instant,global_tilted_irradiance_instant,terrestrial_radiation_instant
2025-03-24 06:00:00+00:00,2.1144999666666666,99.66666666666667,2.0677528,0.057487180000000006,0.0,0.0,0.0,0.0,1011.1666666666666,997.4297866666666,97.33333333333333,70.33333333333333,63.333333333333336,88.66666666666667,0.0057174152,0.0022791425333333333,1.9138706666666667,4.621997666666666,194.29294000000002,273.59816,3.359999966666667,,,1.9693723,0.0,10.0,0.0,10.0,0.0,10.0,57.89902000000001,23.429768,0.0,23.429768,0.0,11.514057,135.67483333333334
2025-03-24 07:00:00+00:00,4.147833333333334,92.66666666666667,3.0651421666666665,2.3749401,0.0,0.0,0.0,0.0,1011.5666666666666,997.9257366666667,93.33333333333333,52.333333333333336,53.333333333333336,77.0,0.025631057,0.059984445666666664,1.1957669666666666,4.777917866666667,202.94620666666665,270.79181666666665,4.319999966666667,,,3.3908976,779.5540566666667,65.66666666666667,15.666666666666666,50.0,85.98513666666668,65.66666333333333,251.08630666666667,95.09549,22.701943,72.39354866666666,124.59835166666666,95.09548466666666,363.60785000000004
2025-03-24 08:00:00+00:00,7.114500133333333,83.0,4.408680166666667,5.6896591,0.0,0.0,0.0,0.0,1011.9,998.3992666666667,89.33333333333333,34.666666666666664,42.666666666666664,66.0,0.07639392533333333,0.17231738666666666,0.6077394333333334,5.607983233333333,261.14500333333336,266.69572,5.399999833333333,,,5.4320978,3144.5703,180.33333333333334,69.66666666666667,110.66666666666667,204.57557,180.33332,468.8214533333333,218.75252999999998,84.52211666666666,134.23041666666668,248.19823,218.75251666666668,568.6682866666666
2025-03-24 09:00:00+00:00,9.864500333333334,73.66666666666667,5.354222333333333,8.496839166666668,0.0,0.0,0.0,0.0,1012.0333333333333,998.66188,85.33333333333333,16.666666666666668,32.666666666666664,54.333333333333336,0.14917331,0.32287045666666664,1.5746074333333333,8.0191866,334.59981999999997,284.76402333333334,6.36,,,7.184542666666666,3600.0,319.0,149.66666666666666,169.33333333333334,313.70732,319.0,656.5313333333334,358.0656666666667,168.0077653333333,190.05790666666667,352.1506,358.0656666666667,736.8977066666666
2025-03-24 10:00:00+00:00,12.1145,66.0,5.917606166666666,10.536658666666666,0.0,0.0,0.0,0.0,1011.9333333333334,998.6682999999999,82.0,30.333333333333332,40.0,39.666666666666664,0.21842588333333332,0.48390018999999995,3.8549568666666665,8.913217666666666,233.439872,301.1473733333333,10.919999333333331,,,8.521835000000001,3600.0,437.0,237.33333333333334,199.66666666666666,407.37866333333335,437.0,801.4419133333334,467.2297766666666,253.76440666666667,213.46536333333333,435.58189999999996,467.2297766666666,856.8499133333333
2025-03-24 11:00:00+00:00,14.164499333333334,59.333333333333336,6.3129965666666665,12.345051500000002,0.0,0.0,0.0,0.0,1011.6666666666666,998.49898,79.0,44.0,47.666666666666664,25.666666666666668,0.2752515833333333,0.6601087,6.5241603999999995,8.411941333333333,121.36471066666667,303.88484666666665,15.360000166666666,,,9.686820666666668,3600.0,520.0,318.6666666666667,201.33333333333334,490.3763166666667,520.0,893.6967666666666,535.5386333333333,328.20369999999997,207.33492333333334,505.05185,535.5386333333333,920.3706433333333
2025-03-24 12:00:00+00:00,15.597833333333334,54.666666666666664,6.473302666666666,13.605504333333334,0.0,0.0,0.0,0.0,1011.4666666666667,998.36633,75.66666666666667,57.666666666666664,55.0,11.0,0.3049520233333333,0.8056459633333333,8.810104866666668,10.211557333333333,123.11021899999999,291.1192633333333,19.919999666666666,,,10.443524,3600.0,548.6666666666666,355.6666666666667,193.0,527.5034966666667,548.6666666666666,927.0296,546.3911933333333,354.20635666666664,192.18484666666666,525.3372266666667,546.3911933333333,923.15265
2025-03-24 13:00:00+00:00,16.231166333333334,52.666666666666664,6.529444000000001,13.908375,0.0,0.0,0.0,0.0,1011.3000000000001,998.23009,76.66666666666667,48.333333333333336,57.666666666666664,14.666666666666666,0.29287941333333334,0.8751793233333333,10.237781666666667,11.02194,121.412109,302.68200666666667,21.36,,,10.768662666666666,3600.0,504.0,317.6666666666667,186.33333333333334,485.60332666666665,504.0,899.1926666666667,484.87305,305.62422,179.24885000000003,467.1941,484.87305,865.0309333333333
2025-03-24 14:00:00+00:00,16.264499999999998,53.666666666666664,6.8429812000000005,13.828605166666668,0.0,0.0,0.0,0.0,1011.1666666666666,998.0995433333333,77.0,38.333333333333336,61.0,18.0,0.24855799999999997,0.85794658,11.184462000000002,18.249322,120.59662166666665,350.61185333333333,22.679999999999996,,,10.916947666666667,3600.0,407.6666666666667,235.33333333333334,172.33333333333334,398.19041,407.6666566666667,812.1069133333334,376.50863,217.35792666666669,159.15071666666665,367.7750833333334,376.50862,749.99161
2025-03-24 15:00:00+00:00,15.847833333333334,55.666666666666664,6.993893233333334,13.510698333333332,0.0,0.0,0.0,0.0,1011.2333333333332,998.1462700000001,78.0,29.0,63.666666666666664,21.666666666666668,0.19448510666666666,0.7991172533333334,10.7509906,16.208852,241.34067033333335,352.56853333333333,24.11999966666667,,,10.783508,3600.0,305.3333333333333,160.0,145.33333333333334,327.2054533333333,305.3333333333333,671.7343,266.34432666666663,139.57922499999998,126.76511466666666,285.44367,266.34432666666663,585.9017466666667
2025-03-24 16:00:00+00:00,14.914499999999999,60.666666666666664,7.377424866666666,12.979107666666666,0.0,0.0,0.0,0.0,1011.6333333333333,998.49892,67.0,21.0,56.666666666666664,14.666666666666666,0.13351042666666665,0.6678877999999999,8.629138,12.725961766666666,124.38235276666667,111.79467406666667,19.079998666666665,,,10.5134545,3600.0,212.0,105.66666666666667,106.33333333333333,297.65256,212.00001,487.66808,166.94951333333333,83.22232866666667,83.72718333333334,234.42780000000002,166.94952333333333,383.9711633333333
2025-03-24 17:00:00+00:00,13.531166333333333,66.66666666666667,7.445970066666667,12.085011666666666,0.0,0.0,0.0,0.0,1012.2000000000002,998.9952333333334,55.666666666666664,13.333333333333334,49.666666666666664,7.0,0.06591823633333334,0.5180067166666666,5.391310266666667,15.377063999999999,130.91174966666668,131.11452533333332,13.6799995,,,9.899998666666667,3600.0,116.33333333333333,56.666666666666664,59.666666666666664,285.73275,116.33332666666666,272.4790966666667,67.48729533333334,32.884425666666665,34.60286833333333,165.80876666666668,67.48729,157.98891
2025-03-24 18:00:00+00:00,12.164500333333335,73.33333333333333,7.5284498,11.088406999999998,0.0,0.0,0.0,0.0,1012.8333333333334,999.55737,44.666666666666664,5.333333333333333,42.666666666666664,0.0,0.0061860077333333345,0.3798765333333334,2.9954781999999995,16.559392,151.385053,144.67862866666667,8.640000200000001,,,9.318092666666667,668.9060566666667,29.0,14.0,15.0,149.0352366666667,28.99999733333333,69.23000866666666,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-24 19:00:00+00:00,10.897833666666665,79.0,7.379550900000001,9.942602500000001,0.0,0.0,0.0,0.0,1013.5333333333333,1000.1895133333333,47.333333333333336,4.666666666666667,45.666666666666664,0.0,0.0,0.27714681,1.9137452266666666,10.302381466666667,101.75746316666668,152.45487599999998,7.800000333333333,,,8.684311333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-24 20:00:00+00:00,9.647833666666665,84.0,7.042266733333332,8.478103333333333,0.0,0.0,0.0,0.0,1014.3000000000001,1000.8874999999999,50.666666666666664,4.0,48.666666666666664,0.0,0.0,0.19678538999999998,2.8252487,5.761249666666667,145.23883,299.6021733333333,6.84,,,7.971017833333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-24 21:00:00+00:00,8.4645,88.33333333333333,6.6068020333333335,7.072049466666667,0.0,0.0,0.0,0.0,1014.9333333333334,1001.45638,53.333333333333336,3.3333333333333335,51.666666666666664,0.0,0.0,0.13438276500000002,3.6470518000000003,6.802856333333334,158.76344166666667,332.13141666666667,6.0,,,7.2374151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-24 22:00:00+00:00,7.3811670000000005,91.33333333333333,6.040610133333334,5.848920500000001,0.0,0.0,0.0,0.0,1015.3666666666667,1001.8318366666666,48.333333333333336,8.333333333333334,38.333333333333336,4.666666666666667,0.0,0.09217800633333334,3.718704466666667,9.708904666666667,154.73659833333332,346.00560333333334,6.0,,,6.461018566666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-24 23:00:00+00:00,6.414500133333334,93.0,5.3594899,4.7894265,0.0,0.0,0.0,0.0,1015.7333333333332,1002.1468433333333,43.666666666666664,13.333333333333334,25.333333333333332,9.666666666666666,0.0,0.06854462666666666,3.3292327000000004,14.640209666666665,137.99084666666667,340.99758,5.999999933333334,,,5.663678166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-25 00:00:00+00:00,5.597833333333334,94.66666666666667,4.808851533333333,3.8838839333333333,0.0,0.0,0.0,0.0,1016.0333333333333,1002.4029133333333,38.666666666666664,18.333333333333332,12.0,14.333333333333334,0.0,0.048839151666666664,3.144224466666667,16.107706333333333,128.258368,344.8570333333334,5.999999833333334,,,5.008387166666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-25 01:00:00+00:00,5.031166766666666,96.33333333333333,4.494612333333333,3.2739184333333333,0.0,0.0,0.0,0.0,1016.3000000000001,1002.6382866666667,51.0,31.333333333333332,20.0,9.666666666666666,0.0,0.03216026266666667,2.9971602333333336,13.544588666666668,130.63341333333332,233.1136776666667,5.52,,,4.5971105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-25 02:00:00+00:00,4.631166666666666,97.33333333333333,4.242973766666666,2.8594988333333333,0.0,0.0,0.0,0.0,1016.5333333333333,1002.84911,62.666666666666664,44.0,27.666666666666668,4.666666666666667,0.0,0.022646784666666666,2.7459808666666667,12.316815666666665,146.85599133333332,4.540441266666667,4.8,,,4.2889086333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-25 03:00:00+00:00,4.3311668,98.66666666666667,4.137419933333334,2.5488057,0.0,0.0,0.0,0.0,1016.8333333333334,1003.1306466666666,75.0,57.0,35.666666666666664,0.0,0.0,0.01103876,2.672094466666666,11.859956333333335,158.44874000000002,243.96288166666668,4.319999800000001,,,4.109608633333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-25 04:00:00+00:00,3.7645,99.33333333333333,3.6688503333333333,1.9164481,0.0,0.0,0.0,0.0,1017.1999999999999,1003.4647033333334,83.33333333333333,66.66666666666667,42.333333333333336,33.0,0.0,0.005347768403096666,2.4803788,12.106819,160.44288333333336,241.83407366666665,4.679999899999999,,,3.5995982000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-25 05:00:00+00:00,3.2978333,100.0,3.2978333,1.39408175,0.0,0.0,0.0,0.0,1017.6,1003.83668,91.66666666666667,76.0,49.0,67.0,0.0,0.0,2.369045126666667,16.16311,153.08207666666667,10.343642666666666,5.279999766666667,,,3.189613833333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
